code,name
050-LYDAGRA,MASOODPUR
NBO-1-003-1204,Machrar at Gidha
NBO-2-008-1209,Phen at Parsatola
032-LBDJPG,MURTI
020-UBDDIB,Daporizo
017-chejmu,AKHNOOR
001-MDSIL,KUMARGHAT
030-MGD1LKN,Kanjyoti
NBO-2-001-1202,Narmada at Gorakhpur
024MAHGAND,Ratanpur
016-UYDDEL,Mohna
003-SRDCBE,KUDLUR
025-MGD3VNS,Duddhi
004-UBDDIB,Lemeking
021-DDASL,TANTLOI
006-SRDCBE,SEVANUR
NBO-2-014-1215,Saner at Chargawan
017-UBDDIB,Bihubar
039MAHGAND,Lowara
024-mgd5pat,Daltonganj
041-MGD1LKN,Madhwapur
026-WGDNGP,Mangrul
GYH70J7,GARHAKOTA
022-CDBNG,KOLLEGAL
011-LGDHYD,Chindnar
023-MGD3VNS,Goverdheghat
015-SRDCBE,AMBARAMPALAYAM
048-ERDBWN,Jaggaguda
023-LGDHYD,Saradaput
017-DDASL	,Maharo
NBO-2-010-1211,Balai at Narayanganj
019-LKDHYD,Dameracherla
050-SRDCBE,Varanavasi
018-WGDNGP,Sakmur
042-MGD1LKN,Dumari Ghat
025MAHGAND,Kheda
011-MGD3VNS,Kharra
040-LYDAGRA,ORAI-2 Mangrayan
037-LYDAGRA,NEPARI
048-MGD3VNS,Devkali
029-UBDDIB,Bhalukpong
025-UGDHYD,Mancherial
023-LKDHYD,Paleru Bridge
053 -hd chennAI,THIRUNAVALUR
008-NDBHP,Dindori
035=DDASL,KHARIDWAR
077-ERDBWN,Saraikela Rd. Bridge
017-SRDCBE,Ambasamudram
66-LYDAGRA,BADAUSA
008-ugdhyd,Lasur
04-srdcbe,THOPPUR
074-ERDBWN,Bara Ghagara
021-LGD3BEH,BHALUKA
028-MGD1LKN,Jouljibi
NBO-1-053-1254,Borad at Thikri
012-SRDCBE,ELUNUTHIMANGALAM
052- hd chennai,MONNAVEDU
009     -srdcbe,URACHIKOTTAI
041-HDCHENNAI,Buggaagraharam
CD-NEW-27,URI
002-MGD1LKN,Gaighat
032-mgd2lkn,Shahjahanpur
048-SRDCBE,VADAMADURAI
NBO-2-018-1219,Belkund at Ghughra
045-LYDAGRA,BAGCHINI
028-SWRDKOCHI,KALATHUKADAVU
NBO-2-047-1248,Kaner at Mendhikheda
023-mgd2lkn,Narora Down Stream
015-CDJAPR,Barod
01-10-24-001,Jalalpur
026CDBNG,AVERSHE
NBO-1-042-1243,Machak at Barangi
030-ERDBWN,Madhabarida
001neid1,"Myndu Stage II, Dam Site"
001-SRDCBE,Avarankuppam
015-chejmu,Jammu Tawi(Sidhra)
013-lgdhyd,Pathagudem
033,Bateshwar
028-LGD3BEH,JIAGANG
004-ugdhyd,Palkhed
060-LYDAGRA,MARKA
050-MGD3VNS,Karkota
002-midshl,Kharkhana
027-mgd2lkn,Ramsanehi Ghat
062-LYDAGRA,SARDHUA
017-CDJAPR,Aklera
002-uyddel,Hathiari (Bausan)
017-MGD1LKN,Salempur
001-neid2,Tuichang
038-HDCHENNAI,Penneswaramadam
028CDBNG,HALADI
003-HGDDDN,Nandkeshri
048-LYDAGRA,SANJAY NAGAR
023-ukdpune,Niivali
049-MDBURLA,Bhingarpur 
CD-NEW-23,KRALPORA
011-SWRDKOCHI,ARANGALI
037-MGD1LKN,Chaugurji Ghat
007-DDASL	,Ramgarh
015-UBDDIB,Desangpani
CW1WAR000043,Kamgarpur
008-MGD4PTN,Triveni
025 - MDSIL,UDHARBOND
070-ERDBWN,Brahmnihalua
049-MGD1LKN,Thoothibari
011-UBDDIB,Margherita
018-LYDAGRA,RAJAPUR
013-MAHGAND,Hathmati Weir
002-MAHGAND,Anas PH-II
001-ugdhyd,Dharna Dam (State Govt. Site)
068-ERDBWN,Bhejdih
CD-NEW-30,BAINCH
CD-NEW-22,ARWANI
CW1WAR000052,Belgaon (Selu)
008-CDJAPR,Bigod
058-LYDAGRA,PAILANI DERA
031-ukdpune,Mudhol
043-LBDJPG,Ambari
038-MGD1LKN,New Motipur
043-mgd2lkn,Betalghat
004neid3,Boleng
015-MDSIL,Katigorah
NBO-2-005-1206,Narmada at Maalpur
030-SRDCBE,KALLIDAIKURICHHI
002-CDJAPR,Tal
CW1WAR000040,Rui
025-lgdhyd,Koida
029CDBNG,SANTEGULI
035-MGD1LKN,Kabir Ganj
IBO-2-062-0548,Ropa
73988598,Lakshmanpatti
002-HYDCHENNAI,Nellore CWC
028-HYDCHENNAI,Nandalur
048-MGD1LKN,Muhchurwa Ghat
047-MGD1LKN,Parsohan Ghat
018-MDSIL,Lala
42-ubddib,ROING
058-UBDDIB,Doimukh
005-cdjapr,Mahidpur
019-LGD3BEH,BAHIRGACHI
036-LYDAGRA,JARAINA
011-LBDJPG,Majitar
013-UGDHYD,Zari
041cdbng,ADKASTHALA
011-WGDNGP,Hivra
008-WGDNGP,Satrapur
058-HGDDDN,Shukratal
001-MAHGAND,Chakaliya
054-mgd5ptn,Danapur
NBO-2-002-1203,Chakrar at Gadasarai
CHAMPAKULAM,CHAMPAKULAM
010202008,Karoti
048-MDBURLA,Kathajori Rd.Bridge
065-MDBURLA,DUDHAWA
032-MGD4PTN,Kanti
025-CDJAPR,Sonkatch
042-LYDAGRA,BAHMAI
044-LBDJPG,Shaladang
CW1WAR000049,Kapsi
027-MAHGAND,Chitrasani
026,Kuthnuor
052-mgd5ptn,Saksohra
CW1WEI000045,Piplatola (Dutta)
002-HGDDDN,Joshimath
059-UBDDIB,Pagoda
NBO-1-026-1227,Dudhi at Panagar
022-MDSIL,Sonamura-II
003-lgdhyd,Nowrangpur
023-SWRDKOCHI,ASHRAMAM
013-MGD1LKN,Uskabazar
SRLMDM,Srisailam Dam
014-UYDDEL,Palla
030CDBNG,YENNEHOLE
004-lgdhyd,Kosagumda (Bhaskel)
016-MGD5PTN,Lakhisarai
058-MGD4PTN,Lakhoura
022-MBDGHY,Manughat
BANGLAMKADAVU,BANGLAMKADAVU
002Neid3,Murga Bridge
016-MDSIL,Borkhola
072-ERDBWN,Seethanagaram
027-MDBURLA,Basantpur
020-MDBURLA,Jondhra
037 CDBNG,PULIKUKKU
UPPUTHARA,UPPUTHARA
CD-NEW-36,FATEHPORA
046-LYDAGRA,CHANDPUR DABRA
009-MAHGAND,Khanpur
CD-NEW-21,RUMSHI
021-CDJAPR,Sangod
020-UYDDEL,Masani
053-LYDAGRA,BAROOD
ARIANKAVU,Ariankavu
015-TDSURAT,BURHANPUR
064-LYDAGRA,BARCHA
026-HYDCHENNAI,Porakudi
001-MIDSHL,Dawki
026-MDBURLA,Kurubhata
002-ubddib,Tuting
CW1WEI180516,Mahalgaon
047-LBDJPG,Singimari
038-SRDCBE,Odendurai
045-SRDCBE,SRI RANGAM
039,Krishnagiri Dam
005-MGD1LkN,Banbasa 
012-MBDGHY,Gharmura
005NEID3,METEOROLOGICAL STATION JANG
EXAMPLE-2,Example-NSWDC
001-ERDBWN,Balimundali
001-chejmu,Khanabal
037-SWRDKOCHI,ARUVIPURAM
007-mgd2lkn,Kalagarh 
004-CDJPR,Ujjain
035-MGD4PTN,Kukraha
044-SRDCBE,BHAVANI BRIDGE
006-ERDBWN,Adityapur
003-mgd4ptn,Ahirwalia
031,Sathanur Dam
006-DDASL	,Hendegir
017-MDSIL,Muhammedpur
CW1WAR000036,Asegaon
064-MDBURLA,BURLA
CW1WEI000053,Patansaongi
NBO-2-051-1227,Karam at Dahiwar
027-HYDCHENNAI,Gopurajapuram
052-ERDBWN,Kamakshya Nagar Rd. Bridge
014-MGD1LKN,Chandradeepghat
009-ndbhp,Manot
THOTTAPPALLY,THOTTAPPALLY
025-SWRDKOCHI,PERUVAMPADAM
035-LYDAGRA,BARETHA
VIDYANAGAR,VIDYA NAGAR
047-CDJAPR,Mandsour
024-HYDCHENNAI,Menangudi
017-HGDDDN,Karnaprayag (P)
046-MGD1LKN,Gola Bazaar
007-UYDDEL,Jateon Barrage
007-HYDCHENNAI,Tadipatri
052-MGD4PTN,Kapasiya
CW1WEI000058,Mouda
007NEID3,Jollang 
020-MDSIL,Kadamtala
GGQ00H8,Mahua
052-LYDAGRA,GATA
054- HD CHENNAI,MANIYAMPATTU
035MGD5PAT,Mahnar
043-SRDCBE,PALLIPALAYAM/Erode
019-MDSIL,Patharkandi
PERUMKADAVILA,PERUMKADAVILA
CD-NEW-26,SONMARG
CW3WEI000034,Magardharra
013-MDBURLA,Dharam jaigarh
PALA,PALA
042-erdbwn,Kurula
020-CDJAPR,Sarangpur
CW1WEI000067,Bina
7397907C,Savandapur
016-hYDCHENNAI,Chengalpet
036-SWRDKOCHI,ARKKANNUR
049-ERDBWN,Bhuban Baji Rout Rd.Bridge
058-mgd5ptn,Jamui
NBO-1-020-1221,Sher at Kacchara
CW1WAR000062,Mungoli (Township)
CW1WAR000054,Nagari
CW1WEI000048,Ambgaon (Bagdi)
CW1WAR000071,Mondgaon (Yelakeli)
NBO-2-038-1239,Kolar at Mahgaon
MALAPUARAM_CS,MALAPPUARAM CIVIL STATION
020-SWRDKOCHI,THUMPAMON
006-mdburla,Bamnidhi
003-MAHGAND,Dhariawad
006-MAHGAND,Paderdibadi
046-HDCHENNAI,Kalasapadu
012-wgdngp,Nandgaon
002-MDBURLA,Parmanpur
050-MGD1LKN,Chauhaan Patti
050-mgd5ptn,Banka
060-mgd5ptn,Jehanabad
043-MDBURLA,Raipur
010-wgdngp,Ashti
007-MDSIL,TULARGRAM
056-mgd5ptn,Masaurhi
008-HYDCHENNAI,Alladupalli
VANDIPERIYAR,VANDIPERIYAR
031-ERDBWN,Mahendragarh
032-MGD1LKN,Gagrigol
014-HYDCHENNAI,Arcot
011-MDBURLA,Kelo at Raigarh
078-ERDBWN,Dhurwa Dam
051-ERDBWN,Gohira
017-SWRDKOCHI,KALLOOPPARA
CW1WEI000066,Bhagwanpur (Kurkheda)
025-HGDDDN,Chhinka
059-mgd5ptn,Nardiganj
007-MAHGAND,Kadana Dam
003-hydchennai,Nandipalli
CW1WAR000039,Mahagaon (Pus)
003-MBDGHY,Matunga
009-MGD1LKN,B.K.Ghat
021-MGD1LKN,Trimohinighat
059-MGD4PTN,Madhuban
026-lgdhyd,Polavaram site
012-LKDHYD,T. Ramapuram
0047-CDBNG,PUDUNAGARA
055-mgd5ptn,Paliganj
072-mgd5ptn,Yadunathpur
010214002,Savni
NBO-2-022-1223,Machrewa at Bakori
017-LGD3BEH,KUTHIBARI
CCN00J5,BENDRAHALLI
013-LBDjPG,KHANITAR
063-LYDAGRA,LAHCHURAGHAT
027-LGD3BEH,TARINIPUR
022-LYDAGRA,KAIMAHA
071-mgd5ptn,Kathautiya
003-mdburla,Manendragarh
CW1WEI000057,Sarra
044-HDCHENNAI,DIPURU
024- MDSIL,CHIRIPOOL
054-MGD4PTN,Jhagarua
01 02 17 005, Purna at Yerli
012-NDBHP,Barmanghat
KULAMAVU,KULAMAVU
012-LBDJPG,Sankalan
041-SWRDKOCHI,THIRUVATTAR
008-MDBURLA,Sundergarh
015-MDBURLA,Baronda
024-LGD3BEH,BANPUR
051-mgd5ptn,Suryagadha
067-mgd5ptn,Bairiya
019-MDBURLA,Simga
CW1WEI000041,Singodi
CW3WAR000060,Dhanora (Wardha)
HGDDDN-053,Devprayag (A)
CW1WAR000056,Patala
043-erdbwn,Meliaputy
024-MDBURLA,RAJIM
031-MGD1LKN,Bangapani (Munsyari)
044-MGD3VNS,Kasmabad
049-MGD4PTN,Amour
010-MDBURLA,Rampur
067-ERDBWN,Keshdihi
001-MGD4PTN,Chanpatia
045-MGD4PTN,Badlaghat
003-DDASL	,Barkisuriya
CW1WEI000046,Temni
012-LGD3BEH,ISLAMPUR [seasonal]
037-MGD4PTN,Chhitaunighat
018-MDBURLA,Kotni
006-HGDDDN,Rudraprayag (M)
004-HGDDDN,Rudraprayag (A)
020-ERDBWN,Gomlai
013-LYDAGRA,MADLA
008-LGD3BEH,BERHAMPORE
CW1WEI000055,Sakhra (Wadsa)
053-ERDBWN,Purunagarh
020-HYDCHENNAI,Kudalaiyathur
010-LGD3BEH,ENGLISHBAZAR
040-MGD4PTN,Thakraha
CW1WEI000061,Kokiwada
001-MGD1LKN,Colonelganj
041-MGD4PTN,Sugauli
MALAYATTOOR,MALAYATTOOR KODANAD BRIDGE
005-hydchennai,Nellore Telemetry
CW1WEI000047,Sakoli Bridge
016-CDJAPR,Khatoli
DWRIS-13,Ranipool
021-MDBURLA,Ghatora
098-mgd-3vns,Chunar
036-CDJAPR,Devlia Khurd
005-mdsil,HAORA
057-hd CHENNAI,NARIYAMPATTU
005-LGD3BEH,LABHA
069-ERDBWN,Rd.Bridge D/S of Chandil Dam
062-mgd2lkn,Dulha Dhakia
034-MGD5PTN,Sultanganj
005-cdbng,BYALADAHALLI
020-LKDHYD,Polampalli
060-MDBURLA,KALMA
046-ERDBWN,Janjhavati Rd.Bridge
035-LKDHYD,Daredu
009-GD3BEH,CHAPRA
029-MAHGAND ,Sarotry 
002-ugdhyd,Gangapur Dam ( State Govt. )
001-HYDCHENNAI,Chennur
045-MDBURLA,Gopalpur
050-ERDBWN,Bonaigarh
066-mgd5ptn,Udwantnagar
016-SWRDKOCHI,VANDIPERIYAR
043-HDCHENNAI,Pallamala
040-HDCHENNAI,Poyyapakkam
IBO-1-058-0544,Shalkhar
007-LGD3BEH,BAZARSAW [SEASONAL]
029-LKDHYD,Suddakal
028-MGD3VNS,NARAYANPUR 
014-SWRDKOCHI,RAMAMANGALAM
034-HGDDDN,Suraithota
026-LKDHYD,Halia
005-HGDDDN,Rudraprayag (conf)
015-lgd3BEH,KATWA
057-MGD4PTN,Bairgania
CW1WEI000068,Jhilmili
CW1WEI000033,Bichhubaggu
012-HYDCHENNAI,Naidupet
077-UBDDIB,Doyang Hep Reservoir
033-MGD1LKN,Thal
045-HDCHENNAI,Verupakshapuram
014-ERDBWN,Champua
061-mgd5ptn,Nawada
045-hd chennai,THIRUVALAM
015-lkdhyd,K. Agraharam
020-chejmu,UDAIPUR
032-MAHGAND ,Kamalpur 
013-LGD3BEH,KALNA (EBB)
dwris-01,Upper Rimbi
010MGD5PTN,Lalganj
019-chejmu,GHOUSHAL
014-ugdhyd,Purna
002-MDSIL,KAMALPUR
021-CHEJMU,TANDI
050-MGD4PTN,Bathnaha
CW1WEI000065,Sarekha
CW1WAR000070,Lodhikheda
039-MGD1LKN,Ramnagar Bagha
014-DDASL	,Jamalpur
CW1WEI000069,Nainpur
008-HGDDDN,Uttarkashi-GSM
022-HYDCHENNAI,Annavasal
01-10-25-001,Risiang
DWRIS-07, Rangma Range
022-CHEJMU,MIYAR NALLAH
01-10-19-001,Nongstoin-I (Mawthungkper)
005-MDBURLA,Korba
007-NDBHP,kogaon
046-mgd3vns,NEGAI
ACHENCOIL,Achencoil
042-MGD3VNS,Chousa
035-UYDDEL,Ganguwala
01-10-18-001,Sonapur
CW1WEI000042,Ganeshganj
CW3WEI121214,Bakhari
CW1WAR000063,Bhishnur
003-LGD3BEH,FARAKKA
011-mdsil,Tuirial
026--ukdpune,Ganjem
016-CDBNG,K.M. VADI
012-cdbng,KUDIGE
020-MGD2LKN,Gagan Moradabad
0045-CDBNG,KOKKEDODDY
049-CDBNG,LAKKAVALLI
021-CDBNG,THIMMANAHALLI
035-CDBNG,Kalmane
IBO-1-060-0546,Ghaluwal
015-ukdpune,Belne Bridge
006-NDBHP,Patan
017-CDBNG,AKKIHEBBAL
055-mgd2lkn,Basantpur_CWC
CDJ35,Jhalawar
039 CDBNG,BELUR
040-SWRDKOCHI,THIRUVARAMBU
020-ukdpune,Talikot
024-CDBNG,BILIGUNDULU
015-CDBNG,CHUNCHUNAKATTE
40- SRDCBE,KOTTATHARA
0043-CDBNG,HOMMARAGALLI
053-mgd2lkn,Dhaneta
006-CDBNG,HOLEHONNUR
021-HYDCHENNAI,Nallathur
005-UKDPUNE,KURUNDWAD
036-TDSURAT,LOHARA
027-ukdpune,Collem
020-HGDDDN,Chamiyala
001-HGDDDN,Badrinath
001-CDBNG,Shimoga
010-HYDCHENNAI,Kamalapuram
059-mgd2lkn,Pilibhit
056-TDSURAT,DUSKHEDE
0042-cdbng,THORESHETTAHALLI
010214003,Jamraval
048-mgd2lkn,Marchula
033-MGD3VNS,Kairi
056-MGD-3VNS,VIJAY RAGHAVGARH
033-mgd2lkn,Shergarh
045-MGD3VNS,SOHAR
013-CDBNG,M.H. HALLI
029-SWRDKOCHI,KONDAZHY
0048-CDBNG,CHIKKAMALUR
019-CDBNG,T. BEKKUPE
018-CDBNG,T. NARASIPUR
CW1PRA000084,Tekra (Aheri-Gudem Bridge) 
052-mgd2lkn,Bhojpur
036-mgd2lkn,Sehramau (South)
040-mgd2lkn,Atrauli
042-mgd2lkn,Bilhaur
032-mgd3vns,LALGANJ
004-CDBNG,Marol
030-MGD3VNS,Kohdarghat
031-SWRDKOCHI,MANAKKAD
013-TDSURAT,TESKA
053-MDBURLA,Gunderdehi
01-10-21-001,Umkiang
036-CDBNG,Airani
006-TDSURAT,CHANWADA
004-MDBURLA,Bango dam
056-MDBURLA,Kataghora
034-TDSURAT,MAHUWA
009-SWRDKOCHI,PUDUR
001-TDSURAT,BODELI
030-ukdpune,Navalgund
029-MDBURLA,Jamadarpali
017-TDSURAT,BHUSAWAL
031-MAHGAND,Ambaji
046-MDBURLA,Kishan Nagar 
059-MDBURLA,Arampur
013-HYDCHENNAI,Sullurpet
034-SWRDKOCHI,PALLIPPADY
050-mgd2lkn,Garjia
033-TDSURAT,PINGALWADA
035-SWRDKOCHI,PULLAKKAYAR
032-SWRDKOCHI,MANIKAL
005-TDSURAT,MOTINAROLI
011-HYDCHENNAI,Nagalamedike
035-TDSURAT,DURVESH
033-SWRDKOCHI,PALAKADAVU
018-TDSURAT,SAVKHEDA
0035-CDBNG,NAPOKLU
022-SWRDKOCHI,KUZHITHURAI
010-TDSURAT,LAKHPURI
024-TDSURAT,GADAT
002-TDSURAT,RAJPIPLA
054-MDBURLA,Maniyari 
057-MDBURLA,Boudh
037-mgd2lkn,Jyoti Jagir
051-MDBURLA,Balanga 
050-MDBURLA,Balakati 
038cdbng,BETTADAMANE
007-CDBNG,HOOVINAHOLE
047-MDBURLA,Tarpur 
030-SWRDKOCHI,KOTTAPURAM
NBO-1-043-1244,Kalimachak at Charuwa
049-mgd2lkn,Naula
038-TDSURAT,KURANKHEDA
052-mdburla,Daya Rd.Bridge 
062 MDBURLA,MALGAON
016-WGDNGP,P.G. Bridge
061-mgd2lkn,Sitarganj
035,Bhomoraguri
032-UYDDEL,Meenus(Tons)
019-SWRDKOCHI,PATTAZHY
013-UYDDEL,Baghpat
046-SRDCBE,LAKSHMANANPATTI
016-SRDCBE,THENI
011-HGDDDN,Devprayag (G)
051-LYDAGRA,SARVA
002-DDASL	,Haripur
045-UYDDEL:,Baleni
007-LYDAGRA,BASODA
DWRIS-08,Bop
029-MGD1LKN,GHAT
01-11-06-003,Dholai
CD-NEW-20,WATCHI
042-LBDJPG,Suldaguri
CW1WEI000076,Gawana
036-HDCHENNAI,V.Kallathur
CW1WEI000074,Chhinda
005-SIDGTK,Toyum
006-UBDDIB,Tezu
NBO-1-012-1213,Gaur at Bhalawara
016-MBDGHY,Dholai
075-ERDBWN,Kanke Rd. Bridge
014-srdcbe,NALLAMARANPATTY
CW1WAR000038,Tharnam
NBO-2-025-1226,Narmada at Naseerabad
013-ERDBWN,Swampatna
DWRIS-14,Bakcha 
031-DDAsl,Lalgarh
004-ERDBWN,Baripada
027- MDSIL,KALAIN
001-NDBHP,Mukki
022-MGD2LKN,Rampur_GSM
073-ERDBWN,Kolipal
022-lgdhyd,Konta
001-SHDSIM,TITANG
018-MGD5PTN,Mankatha
047-SRDCBE,SANARPATTI
01-11-01-007,Annapurna Ghat
018-MGD2LKN,Bhitaura
003NEID-3,Pangin
026-UYDDEL,Kuthnaur
025-LKDHYD,Vijayawada
022-ERDBWN,Talcher
015-SWRDKOCHI,KIDANGOOR
012-CDJAPR,Pali
006-mgd2lkn,Bhatpurwaghat
022-wgdngp,Bhatpalli
012-lydagra,GAISABAD
018-LGDHYD,Sangam (Kinnerasani)
022-MAHGAND ,Sei Dam 
018-LKDHYD,Wadenepally
027-TDSURAT,OZERKHEDA
CW3GDL300814,Waraseoni
003-UYDDEL,Tuini (Pabar)
030-TDSURAT,SILVASSA
DWRIS-02,Lachen
007-LBDJPG,Sankosh LRP
020-LBDJPG,NEORA
002neid1,Myntdu Stage-II power house
001NEID3,China Bridge
031-LBDJPG,Champasari
057-UBDDIB,Dihingmukh
NBO-1-034-1235,Tawa at Tawakathi
020-LGDHYD,Sukma
014-MAHGAND,Watrak Dam
042CDBNG,SANOOR
CW1WEI00037,Jogisakhra
NBO-2-037-1238,Indra at Khapriya
045-MGD1LKN,Gharighat
046-UYDDEL,Noida
022-mgd4ptn,Birpur
076-ERDBWN,Paradih
003-neid2,Sihthangpui
048-HDCHENNAI,RAYACHOTI
001-UBDDIB,Kibithu
062-mgd5ptn,Hisua
034-MGD1LKN,Bageshwar
039-SWRDKOCHI,NELLIPPALLI
038-LYDAGRA,MANSURPUR
018-LGD3BEH,RAJMAHAL
046-LBDJPG,Baladoba
007-ugdhyd,Pachegaon
001-MGD3VNS,Azamgarh
srdcbe 052,Balasamudram
021-MDSIL,Kaliganj
055-UBDDIB,Bogibil
NBO-1-028-1229,Tenduni at Maheshwar
010-ugdhyd,Dhalegaon
002-SRDCBE,GUMMANUR
026-MGD1LKN,Basti
009-ukdpune,Cholachagudda
060-mgd2lkn,Maholi
018-LBDJPG,DIANA
041-LYDAGRA,MOOSA NAGAR
054-LYDAGRA,KAITHI
KAKKADASSERY,Kakkadassery
025-LGD3BEH,BAJITPUR
069-mgd5ptn,Mahgama
NBO-2-035-1236,Denwa at Matkuli
042-MGD4PTN,Mohauddin Nagar
002-neid2,Tuichawng
023-MDSIL,Sabrum
HR00001,WJC MLL
0013NEID3,Mechuka
NBO-1-015-1216,Pariyat at Matamar
035-CDJAPR,Jahajpur
036-MGD1LKN,Kukea
023-LGD3BEH,SARALPUR
063-mgd5ptn,Dobhi
033-MGD5PTN,Kolhachak
015-MGD1LKN,Mukhlispur
047-MGD4PTN,Moujabadi
042-SWRDKOCHI,VELLAIKADAVU
004-mdsil,KHOWAI
007-MDBURLA,Thethetanger
062-erdbwn,Gopiballavpur
038-SWRDKOCHI,MADAMON
013-ukdpune,Anjanari
065-mgd5ptn,Banjari
037MAHGAND,Gungan
037-MGD3VNS,MARVAS
033-HGDDDN,Dhopaddhaar
054-UBDDIB,Subansiri Lower Dam
044-MGD1LKN,Dhobahat
055-MGD4PTN,Nirmali
037MGD5PTN,Sitalpur
046-MGD4PTN,Dalsingh Sarai
051,Jagibhakatgaon
CW1WEI000064,Dhanora (Kathani)
032-MGD5PTN,Fatehpur
KOCHUPAMPA,KOCHUPAMPA
022-LGD3BEH,CHICHURA
012-MAHGAND,Rangeli
032-HGDDDN,Brahmkhaal
016-LGD3BEH,PALASIPARA
047-hdchennai,Narasingarayainpet
CW1WAR000059,Purad
025-MDBURLA,Seorinarayan
01-10-14-001,Byrnihat
033-CDJAPR,Tumri
070-mgd5ptn,Ahiro
012-lgdhyd,Tumnar (Dantewara)
048-MGD4PTN,Rauta
065-ERDBWN,Bolani
01-11-01-006,Badarpur Ghat
007RAJG,Rajghat
AMBITAMPOTTY,AMBITTAMPOTTY
068-mgd5ptn,Zamania
028-MDBURLA,Surajgarh
NBO-2-007-1208,Halon at Baratola
064-mgd5ptn,Manpur
056-hd chennai,AYALAMBEDU
001-lgd3beh,BEDEPARA
022-MGD1LKN,Regauli
033-ERDBWN,Kutragada
060-MGD4PTN,Chintawanpur
026-LGD3BEH,BANGAON
056-MGD4PTN,Belsand
35-MGD3VNS,Saidpur
016-MDBURLA,Andhiyar Khore
004-SWRDKOCHI,KUTTYADI
017-MDBURLA,Pathardihi
009-MDBURLA,Sankara
019-LBDJPG,GHISH
044-MGD4PTN,Dhamaraghat
IBO-1-059-0545,Khab
051-MGD4PTN,Sikti
026MAHGAND,Swaroopganj
053-MGD4PTN,Kakarghatti
043-MGD4PTN,Bachhwara
049 -HD CHENNAI,Puduvayal
01-10-15-001,Shella
019-HYDCHENNAI,Villupuram
CW1WEI000072,Mungapar
006-LGD3BEH,BERHAIT
025-HYDCHENNAI,Thengudi
004-LGD3BEH,FARAKKA(HR)
040CDBNG,JANNAPURA
001-CDJPR,Dhareri
045-ERDBWN,Sankhili Rd Bridge
006-SHDSIM,BAROT
011-LGD3BEH,HANSKHALI
004-SHDSIM,RAMPUR
017-ERDBWN,Keonjhar
014-LGD3BEH,KALNA (flow)
009-hydchennai,Singavaram
0046-CDBNG,CHIKKARASINAKERE
CW1WEI000050,Markhandadeo
017-HYDCHENNAI,Vazhavachanur
018-HYDCHENNAI,Kumarapalayam
025CDBNG,ADDOOR
055-CDBNG-T,MUDIGERE
004-DDASL	,Nandadih1
003-CDBNG,Haralahalli
CDJ34,Kateela
027-cdjapr,Anthara
008-CDBNG,KELLODU
051-CDBNG-T,VYTHIRI
060-CDBNG-T,KOPPA
IBO-2-063-0549,Sangla
058-CDBNG-T,SRINGERI
040-LKDHYD,VALIGONDA
029-mgd2lkn,Sandi
006-MGD1LKN,Paliakalan
053-CDBNG-T,SOMWARPET
035-HGDDDN,Maneri
038-MGD4PTN,Bagaha
IBO-1-057-0543,GULLING
DWRIS-10,Yuksum
034-LKDHYD,Anantharam
030-CDJAPR,Borkhandi
009-MGD3VNS,Sultanpur
IBO-1-056-0542,HANSA
028-MGD2lkn,Todarpur
01-10-16-001,Ranikor
011-cdbmg,HARIHARAPURA
059-CDBNG-T,TIRTHAHALLI 
0044-CDBNG,MUKKODLU
MGD2-035,FATEHGANJ (E)
062-CDBNG-T,NARASIMHARAJAPURA
049-SRDCBE,Thandalaiputhur
024-CDJAPR,Bangpura
057-CDBNG-T,MADIKERI 
050-CDBNG-T,MANANTHAVADY
009-CDBNG,KUPPELUR
020-CDBNG,T.K.HALLI
002-LGD3BEH,BISWANATHPUR
056-CDBNG-T,HADIGE
008-ukdpune,Gokak Falls
045-mgd2lkn,Fica Barrage
003-NDBHP,Mohgaon
069-LYDAGRA,SEMARKHEDI
054-CDBNG-T,HATTIHOLE
011-CDBNG,SAKLESHPUR
061-CDBNG-T,BALEHONNUR
002-CDBNG,Honnali
003-SWRDKOCHI,MUTHANKERA
041-lgdhyd,Sirimoda
010-CDBNG,MAHISHI
052-CDBNG-T,MADAPURA
023-HYDCHENNAI,Peralam
015-HYDCHENNAI,Magaral
